<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KBAN01P2004B,20200102,0.16,0.16,0.15,0.15,5826600
KBAN06C2001A,20200102,0.01,0.01,0.01,0.01,40000
KBAN06C2004A,20200102,0.49,0.54,0.49,0.54,4575800
KBAN08C2001A,20200102,0.01,0.01,0.01,0.01,7000
KBAN08C2002A,20200102,0.08,0.09,0.08,0.09,520000
KBAN08C2005A,20200102,0.5,0.53,0.5,0.53,2220000
KBAN08P2002A,20200102,0.31,0.31,0.28,0.28,2313000
KBAN08P2004A,20200102,0.22,0.22,0.2,0.2,1100000
KBAN13C2003A,20200102,0.26,0.29,0.26,0.29,13385900
KBAN13C2003B,20200102,0.54,0.6,0.54,0.6,32266200
KBAN13P2003A,20200102,0.11,0.11,0.1,0.1,10583400
KBAN16C2005A,20200102,0.25,0.28,0.25,0.28,10448200
KBAN19C2003A,20200102,0.15,0.17,0.15,0.17,1130700
KBAN19C2004A,20200102,0.61,0.65,0.61,0.65,1371500
KBAN19P2004A,20200102,0.22,0.22,0.19,0.19,729800
KBAN24C2001A,20200102,0.04,0.04,0.04,0.04,400
KBAN24C2005A,20200102,0.54,0.59,0.54,0.59,7666500
KBAN27P2001A,20200102,0.14,0.14,0.13,0.13,1100000
KBAN28C2002A,20200102,0.01,0.01,0.01,0.01,18000
KBAN28C2003A,20200102,0.17,0.19,0.17,0.19,2708400
KBAN28C2004A,20200102,0.54,0.59,0.54,0.59,2433600
KBAN28P2003A,20200102,0.14,0.14,0.13,0.13,1014000
KBAN41C2004A,20200102,0.36,0.4,0.36,0.4,1760200
KBAN41P2002A,20200102,0.26,0.26,0.25,0.25,156000
KBAN42C2003A,20200102,0.1,0.11,0.1,0.11,376200
KBAN42C2004A,20200102,0.23,0.24,0.22,0.24,899400
KCE01C2004A,20200102,1.41,1.41,1.14,1.24,19269300
KCE01C2004B,20200102,1.09,1.09,0.82,0.92,16426700
KCE08C2002A,20200102,1.06,1.06,0.95,1.03,71000
KCE08C2005A,20200102,0.64,0.64,0.47,0.53,12331900
KCE08C2005B,20200102,0.23,0.23,0.18,0.19,3383500
KCE11C2004A,20200102,0.97,0.97,0.76,0.84,15825200
KCE13C2001A,20200102,0.81,0.81,0.41,0.52,1423000
KCE13C2003A,20200102,1.49,1.55,1.41,1.55,112100
KCE13C2004A,20200102,0.86,0.86,0.6,0.68,41653500
KCE13C2005A,20200102,0.22,0.22,0.16,0.17,13286500
KCE16C2001A,20200102,0.42,0.43,0.21,0.28,49686600
KCE16C2007A,20200102,0.74,0.74,0.55,0.62,8414700
KCE19C2002A,20200102,1.02,1.07,0.73,0.85,2246400
KCE19C2005A,20200102,0.83,0.83,0.62,0.7,22357600
KCE24C2005A,20200102,1.4,1.44,1.11,1.22,2317400
KCE28C2003A,20200102,0.88,0.88,0.88,0.88,15000
KCE41C2002A,20200102,0.8,0.8,0.78,0.78,200
KCE41C2003A,20200102,1.31,1.31,1.17,1.17,2400
KCE41C2005A,20200102,0.82,0.82,0.74,0.77,24500
KCE42C2001A,20200102,1.2,1.28,0.84,0.89,160000
KKP01C2001A,20200102,0.24,0.27,0.24,0.27,10730500
KKP01P2001A,20200102,0.64,0.64,0.64,0.64,299800
KKP08C2003A,20200102,0.15,0.16,0.15,0.16,500000
KKP11C2007A,20200102,0.4,0.44,0.4,0.44,2390600
KKP13C2004A,20200102,0.22,0.24,0.22,0.24,7602300
KKP16C2002A,20200102,0.28,0.31,0.28,0.31,3125600
KKP19C2003A,20200102,0.2,0.22,0.2,0.22,2133500
KKP27P2002A,20200102,0.16,0.16,0.16,0.16,409600
KKP41C2002A,20200102,0.16,0.17,0.16,0.17,360000
KTB01C2003A,20200102,0.24,0.26,0.24,0.26,29870000
KTB01P2003A,20200102,0.33,0.33,0.31,0.31,18186900
KTB11C2004A,20200102,0.04,0.04,0.04,0.04,78000
KTB11C2006A,20200102,0.12,0.13,0.12,0.13,2760000
KTB13C2002A,20200102,0.05,0.05,0.05,0.05,190000
KTB19C2005A,20200102,0.25,0.26,0.25,0.26,3755200
KTB41C2004A,20200102,0.17,0.17,0.17,0.17,600000
KTB41P2004A,20200102,0.21,0.21,0.2,0.2,600000
KTC01C2001A,20200102,0.16,0.16,0.14,0.15,14444600
KTC01C2001B,20200102,0.01,0.01,0.01,0.01,150000
KTC01C2004A,20200102,0.34,0.34,0.32,0.33,3781600
KTC01C2004B,20200102,0.22,0.22,0.2,0.21,9778900
KTC01P2001A,20200102,0.12,0.13,0.12,0.12,6418000
KTC01P2004A,20200102,0.41,0.44,0.41,0.43,5641900
KTC08C2004A,20200102,0.2,0.2,0.19,0.2,1510500
KTC11C2005A,20200102,0.25,0.25,0.23,0.23,2319100
KTC13C2002A,20200102,0.05,0.05,0.05,0.05,2537400
KTC13C2004A,20200102,0.21,0.21,0.19,0.2,3870000
KTC13P2002A,20200102,0.27,0.3,0.27,0.27,7524900
KTC19C2005A,20200102,0.29,0.29,0.27,0.28,1403100
KTC19P2001A,20200102,0.03,0.03,0.03,0.03,3000
KTC19P2005A,20200102,0.38,0.38,0.36,0.36,1020200
KTC28C2004A,20200102,0.15,0.16,0.15,0.15,1318200
KTC41C2004A,20200102,0.24,0.24,0.24,0.24,180000
LH01C2003A,20200102,0.11,0.14,0.11,0.14,8583600
LH01P2003A,20200102,0.38,0.38,0.35,0.37,3788900
LH11C2007A,20200102,0.4,0.47,0.4,0.47,4012000
LH19C2003A,20200102,0.08,0.08,0.08,0.08,8200
LH19C2003B,20200102,0.16,0.21,0.16,0.21,3187600
LH19P2004A,20200102,0.2,0.2,0.14,0.15,1946000
LH41C2002A,20200102,0.12,0.13,0.12,0.13,3612000
LH41P2003A,20200102,0.14,0.14,0.13,0.13,13500
MAJO13C2002A,20200102,0.39,0.39,0.36,0.36,415000
MAJO19C2002A,20200102,0.11,0.11,0.11,0.11,1039800
MBK19C2004A,20200102,0.24,0.27,0.23,0.23,4540500
MEGA19C2005A,20200102,0.15,0.17,0.15,0.16,2824300
MINT01C2003A,20200102,0.25,0.27,0.23,0.23,16095900
MINT01C2003B,20200102,0.11,0.12,0.1,0.1,19695000
MINT01P2003A,20200102,0.36,0.38,0.34,0.38,9160000
MINT06C2002A,20200102,0.07,0.09,0.06,0.06,1854000
MINT11C2006A,20200102,0.23,0.25,0.22,0.22,2500200
MINT13C2002A,20200102,0.08,0.09,0.07,0.07,1917200
MINT13C2004A,20200102,0.17,0.18,0.15,0.15,10687900
MINT16C2001A,20200102,0.04,0.05,0.04,0.05,810000
MINT19C2004A,20200102,0.21,0.23,0.2,0.2,4356900
MINT19P2004A,20200102,0.18,0.21,0.18,0.2,1675900
MINT28C2002A,20200102,0.02,0.02,0.02,0.02,10000
MINT41C2005A,20200102,0.2,0.21,0.19,0.2,900000
MINT41P2004A,20200102,0.27,0.28,0.27,0.28,180000
MINT42C2004A,20200102,0.14,0.15,0.13,0.13,476000
MTC01C2003A,20200102,0.61,0.63,0.61,0.63,5628600
MTC01C2003B,20200102,0.37,0.39,0.37,0.38,7025600
MTC01P2003A,20200102,0.36,0.36,0.34,0.35,6263300
MTC03C2005A,20200102,0.55,0.57,0.55,0.56,210000
MTC08C2005A,20200102,0.63,0.65,0.63,0.64,2400100
MTC11C2002A,20200102,0.88,0.9,0.88,0.88,2375600
MTC13C2003A,20200102,0.48,0.49,0.47,0.49,11670500
MTC13P2003A,20200102,0.19,0.19,0.18,0.18,4463700
MTC16C2007A,20200102,0.47,0.5,0.47,0.49,6824300
MTC19C2002A,20200102,0.4,0.41,0.39,0.41,2171100
MTC19P2004A,20200102,0.29,0.29,0.27,0.27,1405500
MTC28C2002A,20200102,0.4,0.42,0.4,0.41,2036900
MTC41C2003A,20200102,0.43,0.45,0.43,0.44,3044600
MTC41P2004A,20200102,0.47,0.47,0.47,0.47,1000
MTC42C2003A,20200102,0.33,0.33,0.32,0.32,620000
ORI08C2001A,20200102,0.02,0.02,0.02,0.02,10000
ORI13C2004A,20200102,0.27,0.3,0.25,0.29,10910600
ORI19C2003A,20200102,0.13,0.14,0.11,0.14,5678200
ORI19C2005A,20200102,0.34,0.36,0.32,0.36,2980500
ORI28C2004A,20200102,0.24,0.26,0.22,0.26,3628700
ORI41C2004A,20200102,0.28,0.29,0.27,0.29,976000
OSP01C2003A,20200102,0.24,0.25,0.23,0.24,35615000
OSP01C2003B,20200102,0.09,0.09,0.09,0.09,5053000
OSP01P2003A,20200102,0.5,0.51,0.49,0.5,12102200
OSP06C2005A,20200102,0.3,0.32,0.29,0.3,3364900
OSP06P2003A,20200102,0.41,0.42,0.39,0.39,3220800
OSP08C2001A,20200102,0.21,0.22,0.2,0.21,2030000
OSP08C2004A,20200102,0.16,0.16,0.15,0.16,1270000
OSP11C2005A,20200102,0.31,0.32,0.3,0.31,5535900
OSP13C2002A,20200102,0.09,0.09,0.08,0.08,5696400
OSP13C2004A,20200102,0.26,0.27,0.25,0.26,19560800
OSP16C2001A,20200102,0.19,0.2,0.18,0.2,5124500
OSP19C2004A,20200102,0.13,0.13,0.13,0.13,2068400
OSP24C2008A,20200102,0.35,0.36,0.34,0.35,3338000
OSP28C2001A,20200102,0.13,0.13,0.13,0.13,600
OSP28C2003A,20200102,0.11,0.11,0.1,0.11,1416800
OSP41C2003A,20200102,0.27,0.27,0.26,0.27,410000
OSP41C2005A,20200102,0.25,0.25,0.25,0.25,1200000
OSP41P2003A,20200102,0.22,0.22,0.21,0.21,1200000
OSP41P2004A,20200102,0.44,0.45,0.44,0.44,3956000
OSP42C2001A,20200102,0.14,0.15,0.14,0.14,353400
OSP42C2005A,20200102,0.28,0.29,0.27,0.29,1401400
PLAN08C2004A,20200102,0.09,0.09,0.09,0.09,31100
PLAN13C2004A,20200102,0.14,0.14,0.13,0.13,2853400
PLAN13C2005A,20200102,0.33,0.33,0.3,0.3,4013700
PLAN16C2002A,20200102,0.21,0.23,0.21,0.21,1434100
PLAN19C2005A,20200102,0.17,0.19,0.17,0.17,1327000
PLAN24C2006A,20200102,0.33,0.33,0.31,0.31,2037500
PLAN28C2004A,20200102,0.14,0.14,0.13,0.13,537000
PLAN28C2005A,20200102,0.24,0.24,0.22,0.22,811200
PLAN41C2005A,20200102,0.2,0.2,0.19,0.19,180000
PLAN41C2006A,20200102,0.3,0.31,0.28,0.28,203500
PRM08C2003A,20200102,0.11,0.12,0.11,0.12,2692400
PRM13C2003A,20200102,0.2,0.23,0.2,0.23,9314900
PRM19C2004A,20200102,0.27,0.29,0.26,0.29,1650200
PRM27C2002A,20200102,0.09,0.1,0.09,0.1,575000
PSH19C2003A,20200102,0.07,0.07,0.06,0.06,200000
PSL06C2002A,20200102,0.1,0.11,0.1,0.1,1654400
PSL13C2003A,20200102,0.33,0.33,0.28,0.28,11362500
PSL19C2004A,20200102,0.19,0.21,0.19,0.19,2164500
PSL27C2002A,20200102,0.11,0.12,0.1,0.1,4694800
PTG01C2001A,20200102,0.09,0.09,0.08,0.08,6902000
PTG01C2001B,20200102,0.01,0.02,0.01,0.02,200900
PTG01C2003A,20200102,0.18,0.18,0.17,0.18,590300
PTG01C2003B,20200102,0.11,0.11,0.11,0.11,1694300
PTG01C2005A,20200102,0.48,0.49,0.47,0.49,13488800
PTG01C2005B,20200102,0.31,0.32,0.3,0.31,20350900
PTG01P2001A,20200102,0.53,0.54,0.53,0.53,4548300
PTG01P2003A,20200102,0.72,0.72,0.71,0.71,3694400
PTG01P2005A,20200102,0.67,0.68,0.67,0.67,4536600
PTG01P2005B,20200102,0.47,0.48,0.47,0.47,16941700
PTG03C2005A,20200102,0.03,0.04,0.02,0.03,4253200
PTG06C2001A,20200102,0.01,0.01,0.01,0.01,10000
PTG06C2006A,20200102,0.4,0.41,0.4,0.41,4911400
PTG08C2005A,20200102,0.25,0.26,0.25,0.26,3950200
PTG11C2003A,20200102,0.37,0.38,0.36,0.38,3681700
PTG11C2005A,20200102,0.16,0.16,0.16,0.16,6817400
PTG13C2002A,20200102,0.05,0.05,0.05,0.05,500200
PTG13C2004A,20200102,0.29,0.29,0.27,0.29,94962900
PTG13P2001A,20200102,0.3,0.3,0.29,0.29,8175300
PTG13P2004A,20200102,0.41,0.42,0.41,0.41,71174800
PTG19C2003A,20200102,0.17,0.17,0.17,0.17,244000
PTG19C2004A,20200102,0.14,0.14,0.14,0.14,3748500
PTG19C2005A,20200102,0.35,0.36,0.35,0.36,10160300
PTG19P2001A,20200102,0.25,0.25,0.24,0.24,2340200
PTG27P2001A,20200102,0.13,0.13,0.13,0.13,2760000
PTG28C2004A,20200102,0.16,0.16,0.16,0.16,101400
PTG41C2002A,20200102,0.12,0.12,0.12,0.12,400000
PTG42C2004A,20200102,0.16,0.16,0.16,0.16,90000
PTT01C2001A,20200102,0.17,0.22,0.17,0.22,51016700
PTT01C2001B,20200102,0.02,0.02,0.02,0.02,1857200
PTT01C2004A,20200102,0.42,0.46,0.41,0.46,12504700
PTT01C2004B,20200102,0.24,0.28,0.23,0.28,16546700
PTT01P2001A,20200102,0.51,0.52,0.44,0.45,7727800
PTT01P2001B,20200102,0.12,0.12,0.09,0.09,12083200
PTT01P2004A,20200102,0.44,0.44,0.4,0.4,7033000
PTT01P2004B,20200102,0.24,0.24,0.21,0.21,7122500
PTT06C2005A,20200102,0.31,0.38,0.31,0.38,8675500
PTT08C2005A,20200102,0.32,0.36,0.32,0.36,4165000
PTT08P2005A,20200102,0.26,0.26,0.23,0.23,1025000
PTT11C2004A,20200102,0.1,0.12,0.1,0.12,6294200
PTT13C2001A,20200102,0.01,0.01,0.01,0.01,11000
PTT13C2004A,20200102,0.21,0.26,0.21,0.26,37144500
PTT13P2004A,20200102,0.23,0.23,0.19,0.19,20532700
PTT19C2002A,20200102,0.11,0.15,0.11,0.15,8821000
PTT19C2005A,20200102,0.35,0.4,0.35,0.4,6162800
PTT19P2003A,20200102,0.14,0.14,0.12,0.12,172000
PTT24C2003A,20200102,0.12,0.14,0.12,0.14,3523900
PTT28C2002A,20200102,0.08,0.08,0.08,0.08,507200
PTT28C2003A,20200102,0.04,0.05,0.04,0.05,2950000
PTT28C2004A,20200102,0.16,0.19,0.16,0.19,2917600
PTT28P2004A,20200102,0.22,0.22,0.19,0.19,1801400
PTT41C2004A,20200102,0.24,0.25,0.24,0.25,2996000
PTT41C2005A,20200102,0.34,0.36,0.34,0.36,2592100
PTTE01C2001A,20200102,0.28,0.33,0.28,0.31,21091200
PTTE01C2001B,20200102,0.03,0.03,0.02,0.03,151100
PTTE01C2004A,20200102,0.66,0.72,0.66,0.71,14376200
PTTE01C2004B,20200102,0.44,0.49,0.44,0.48,32814400
PTTE01P2001A,20200102,0.88,0.88,0.79,0.82,2020500
PTTE01P2001B,20200102,0.12,0.12,0.09,0.1,5163800
PTTE01P2004A,20200102,0.41,0.41,0.35,0.38,3717200
PTTE01P2004B,20200102,0.23,0.23,0.21,0.21,8842600
PTTE06C2001B,20200102,0.22,0.28,0.22,0.27,5131700
PTTE08C2002A,20200102,0.15,0.17,0.15,0.16,1325200
PTTE08C2005A,20200102,0.47,0.52,0.47,0.51,4237600
PTTE08P2005A,20200102,0.38,0.38,0.36,0.37,1369700
PTTE11C2006A,20200102,0.56,0.62,0.56,0.59,7699000
PTTE13C2001A,20200102,0.13,0.18,0.13,0.16,2951400
PTTE13C2004A,20200102,0.47,0.53,0.47,0.51,46978100
PTTE13P2003A,20200102,0.25,0.25,0.22,0.23,4923000
PTTE16C2003A,20200102,0.23,0.26,0.23,0.25,7258400
PTTE19C2002A,20200102,0.25,0.29,0.25,0.27,6683000
PTTE19P2004A,20200102,0.2,0.2,0.19,0.19,3691400
PTTE24C2003A,20200102,0.31,0.37,0.31,0.36,2252900
PTTE28C2002A,20200102,0.17,0.21,0.17,0.2,2221700
PTTE28C2005A,20200102,0.31,0.35,0.31,0.34,4209900
PTTE28P2004A,20200102,0.22,0.22,0.19,0.2,2028000
PTTE41C2002A,20200102,0.25,0.29,0.25,0.27,5092000
PTTE41P2002A,20200102,0.2,0.2,0.2,0.2,600000
PTTE42C2004A,20200102,0.23,0.29,0.23,0.26,1296000
PTTG01C2002A,20200102,0.55,0.62,0.55,0.62,22498100
PTTG01C2002B,20200102,0.32,0.38,0.32,0.38,40067300
PTTG01C2005A,20200102,0.59,0.65,0.59,0.64,27193700
PTTG01C2005B,20200102,0.39,0.45,0.39,0.45,15619100
PTTG01P2002A,20200102,0.36,0.36,0.3,0.3,9123700
PTTG01P2002B,20200102,0.08,0.08,0.06,0.06,580100
PTTG01P2005A,20200102,0.72,0.72,0.67,0.67,2649100
PTTG01P2005B,20200102,0.49,0.49,0.45,0.45,10421600
PTTG06C2001A,20200102,0.22,0.3,0.22,0.3,5847700
PTTG08C2004A,20200102,0.52,0.58,0.52,0.58,4801000
PTTG08P2004A,20200102,0.2,0.2,0.19,0.19,510000
PTTG11C2004A,20200102,0.17,0.19,0.17,0.19,5608900
PTTG11C2007A,20200102,0.78,0.85,0.78,0.85,3303100
PTTG13C2001A,20200102,0.09,0.17,0.09,0.17,18868200
PTTG13C2002A,20200102,0.48,0.57,0.48,0.57,24117000
PTTG13C2005A,20200102,0.44,0.51,0.44,0.51,51722200
PTTG13P2004A,20200102,0.25,0.25,0.23,0.23,16600100
PTTG16C2006A,20200102,0.46,0.51,0.46,0.51,12075700
PTTG19C2002A,20200102,0.27,0.33,0.27,0.33,4823500
PTTG19P2003A,20200102,0.1,0.1,0.08,0.09,1766700
PTTG24C2003A,20200102,0.59,0.68,0.59,0.68,1014100
PTTG28C2002A,20200102,0.17,0.22,0.17,0.22,4849100
PTTG28C2003A,20200102,0.43,0.5,0.43,0.5,3368600
PTTG41C2002A,20200102,0.47,0.49,0.47,0.49,1928800
PTTG41C2003A,20200102,0.38,0.42,0.38,0.41,3346000
PTTG41P2002A,20200102,0.16,0.16,0.14,0.14,1896200
PTTG42C2003A,20200102,0.23,0.23,0.23,0.23,200
QH01P2001A,20200102,0.4,0.4,0.38,0.38,764800
QH11C2006A,20200102,0.2,0.22,0.2,0.22,3270000
QH13C2003A,20200102,0.1,0.11,0.1,0.11,4059800
QH27C2007A,20200102,0.19,0.21,0.19,0.21,1996000
RATC01C2003A,20200102,0.21,0.24,0.21,0.23,6847700
RATC01C2003B,20200102,0.09,0.1,0.09,0.1,10341400
RATC06C2006A,20200102,0.46,0.52,0.46,0.5,2771700
RATC06P2006A,20200102,0.37,0.37,0.34,0.35,2708500
RATC13C2001A,20200102,0.01,0.01,0.01,0.01,1400
RATC13C2002A,20200102,0.03,0.03,0.02,0.02,6200
RATC13C2004A,20200102,0.27,0.29,0.26,0.29,12938700
RATC16C2001A,20200102,0.09,0.1,0.09,0.1,5107600
RATC19C2002A,20200102,0.03,0.03,0.03,0.03,3000000
RATC19C2005A,20200102,0.28,0.31,0.28,0.31,6057000
RATC24C2001A,20200102,0.09,0.12,0.09,0.12,9208900
RATC24C2006A,20200102,0.43,0.47,0.43,0.46,3010600
RATC27C2004A,20200102,0.08,0.09,0.08,0.09,2000
RATC41C2002A,20200102,0.03,0.04,0.02,0.04,1600
RATC41C2005A,20200102,0.34,0.37,0.34,0.36,2738900
RATC41P2004A,20200102,0.63,0.63,0.59,0.6,4184000
RATC42C2003A,20200102,0.05,0.05,0.05,0.05,110000
ROBI11C2003A,20200102,0.37,0.37,0.37,0.37,2260000
ROBI19C2004A,20200102,0.35,0.35,0.35,0.35,5668600
RS06C2001A,20200102,0.01,0.01,0.01,0.01,370000
RS06C2004A,20200102,0.24,0.27,0.23,0.24,5202400
RS08P2003A,20200102,1.22,1.22,1.15,1.22,45600
RS13C2004A,20200102,0.2,0.22,0.19,0.2,26328900
RS16C2005A,20200102,0.08,0.08,0.07,0.07,510100
RS19C2005A,20200102,0.22,0.25,0.22,0.22,5597600
RS24C2008A,20200102,0.36,0.38,0.35,0.36,4225000
RS41C2004A,20200102,0.24,0.26,0.24,0.25,2295600
S5001C2001A,20200102,0.33,0.4,0.33,0.37,37106500
S5001C2002A,20200102,0.65,0.75,0.65,0.73,42864800
S5001C2003F,20200102,0.71,0.81,0.71,0.78,268547500
S5001C2003G,20200102,0.54,0.62,0.54,0.61,180831000
S5001C2004A,20200102,0.88,0.96,0.88,0.95,10051700
S5001P2001A,20200102,0.72,0.72,0.6,0.62,151481800
S5001P2002A,20200102,0.57,0.57,0.48,0.49,58354100
S5001P2003F,20200102,0.71,0.71,0.62,0.63,208623300
S5001P2003G,20200102,0.56,0.56,0.48,0.48,135984100
S5001P2004A,20200102,0.91,0.91,0.83,0.83,30168600
S5006C2003A,20200102,0.37,0.44,0.37,0.42,23775100
S5006C2003B,20200102,0.45,0.52,0.45,0.51,13079600
S5006C2003C,20200102,0.61,0.74,0.61,0.71,31442200
S5006P2003A,20200102,0.77,0.77,0.64,0.66,23921400
S5006P2003B,20200102,0.91,0.91,0.8,0.81,13526200
S5006P2003C,20200102,0.38,0.38,0.32,0.32,24879500
S5008C2003A,20200102,0.68,0.79,0.68,0.77,27305600
S5008C2003B,20200102,0.44,0.52,0.43,0.49,18931200
S5008P2003A,20200102,0.34,0.34,0.28,0.29,17785400
S5008P2003B,20200102,0.17,0.17,0.14,0.14,15789500
S5013C2003A,20200102,0.46,0.53,0.45,0.51,1099825300
S5013C2003B,20200102,0.76,0.87,0.76,0.84,572588600
S5013C2003C,20200102,0.64,0.73,0.64,0.71,1062579500
S5013P2003A,20200102,0.94,0.94,0.83,0.85,347088400
S5013P2003B,20200102,0.59,0.59,0.5,0.52,1116705800
S5013P2003C,20200102,0.82,0.82,0.73,0.74,363170300
S5016C2003A,20200102,0.46,0.53,0.46,0.52,16202000
S5016C2003B,20200102,0.7,0.81,0.7,0.78,17795800
S5016P2003A,20200102,0.62,0.62,0.52,0.54,20139600
S5019C2003A,20200102,0.44,0.51,0.44,0.5,64638100
S5019C2003B,20200102,0.87,0.99,0.87,0.96,68380700
S5019P2003A,20200102,0.64,0.64,0.55,0.56,50782000
S5019P2003B,20200102,0.3,0.3,0.24,0.25,75051100
S5024C2003A,20200102,0.51,0.61,0.51,0.58,20104800
S5024C2003B,20200102,1.07,1.28,1.07,1.23,16475900
S5024P2003A,20200102,0.79,0.79,0.65,0.67,27487700
S5024P2003B,20200102,0.34,0.34,0.27,0.28,8060700
S5028C2001A,20200102,0.14,0.18,0.14,0.16,16355800
S5028C2002A,20200102,0.32,0.37,0.32,0.36,15870700
S5028C2003A,20200102,0.12,0.14,0.12,0.13,11771500
S5028P2001A,20200102,0.34,0.34,0.27,0.27,2046000
S5028P2002A,20200102,0.32,0.32,0.26,0.26,2103200
S5028P2003A,20200102,0.24,0.24,0.21,0.22,21815600
S5041C2003A,20200102,0.28,0.32,0.28,0.31,85628400
S5041C2003B,20200102,0.43,0.49,0.43,0.48,7272000
S5041C2003C,20200102,0.59,0.65,0.58,0.63,21298500
S5041P2003A,20200102,0.46,0.46,0.42,0.43,35300
S5041P2003B,20200102,0.68,0.68,0.61,0.62,19189700
S5041P2003C,20200102,0.31,0.31,0.27,0.28,91059700
SAWA01C2003A,20200102,1.1,1.12,1.05,1.05,2529100
SAWA01C2003B,20200102,0.73,0.74,0.68,0.69,7720000
SAWA01P2003A,20200102,0.26,0.27,0.26,0.27,20411000
SAWA06C2002A,20200102,0.78,0.79,0.72,0.72,1544500
SAWA08C2001A,20200102,0.62,0.62,0.56,0.56,1992000
SAWA11C2003A,20200102,0.95,0.96,0.91,0.91,3120000
SAWA13C2002A,20200102,0.77,0.77,0.7,0.7,365400
SAWA13C2005A,20200102,0.65,0.67,0.61,0.61,5325300
SAWA16C2001A,20200102,0.77,0.79,0.71,0.71,5047900
SAWA19C2002A,20200102,0.54,0.55,0.49,0.49,716600
SAWA24C2004A,20200102,0.63,0.65,0.59,0.59,2216500
SAWA28C2001A,20200102,0.48,0.49,0.48,0.49,101400
SAWA28C2002A,20200102,0.89,0.9,0.89,0.89,111400
SAWA28C2004A,20200102,0.5,0.51,0.46,0.46,4974600
SAWA41C2003A,20200102,0.79,0.79,0.78,0.78,1200000
SAWA41C2004A,20200102,0.53,0.53,0.49,0.49,4428400
SAWA41P2003A,20200102,0.13,0.13,0.13,0.13,5000
SAWA41P2004A,20200102,0.48,0.5,0.48,0.5,556100
SAWA42C2003A,20200102,0.46,0.47,0.42,0.42,977600
SCB01C2002A,20200102,0.17,0.18,0.16,0.18,6513100
SCB01C2002B,20200102,0.02,0.03,0.02,0.03,1362400
SCB01C2004A,20200102,0.59,0.6,0.59,0.59,1663700
SCB01C2004B,20200102,0.38,0.39,0.38,0.38,7274700
SCB01P2002A,20200102,1.09,1.09,1.09,1.09,29000
SCB01P2002B,20200102,0.62,0.62,0.59,0.59,1491500
SCB01P2004A,20200102,0.37,0.37,0.37,0.37,60000
SCB01P2004B,20200102,0.14,0.14,0.13,0.13,468500
SCB08C2002A,20200102,0.11,0.11,0.11,0.11,300000
SCB08C2005A,20200102,0.41,0.42,0.41,0.41,800000
SCB08P2004A,20200102,0.23,0.23,0.23,0.23,15000
SCB11C2005A,20200102,0.11,0.12,0.11,0.12,1400
SCB11C2006A,20200102,0.25,0.26,0.25,0.26,875100
SCB11P2005A,20200102,0.64,0.64,0.64,0.64,500
SCB13C2001A,20200102,0.01,0.01,0.01,0.01,100000
SCB13C2003A,20200102,0.32,0.32,0.31,0.32,14737000
SCB13P2003A,20200102,0.09,0.1,0.09,0.1,420000
SCB16C2003A,20200102,0.2,0.21,0.19,0.21,2681500
SCB19C2003A,20200102,0.27,0.28,0.27,0.28,5911100
SCB24C2004A,20200102,0.64,0.66,0.64,0.66,118400
SCB28C2003A,20200102,0.1,0.1,0.1,0.1,55900
SCB28C2004A,20200102,0.25,0.26,0.25,0.26,1201600
SCC01C2001A,20200102,0.08,0.09,0.08,0.08,4579800
SCC01C2001B,20200102,0.01,0.02,0.01,0.01,700600
SCC01C2004A,20200102,0.98,1,0.97,0.98,4605400
SCC01C2004B,20200102,0.56,0.57,0.55,0.56,3946800
SCC01P2001A,20200102,0.56,0.56,0.54,0.55,6897100
SCC01P2004A,20200102,0.67,0.67,0.66,0.66,2298500
SCC06C2002A,20200102,0.22,0.23,0.21,0.22,2678900
SCC08C2004A,20200102,0.55,0.56,0.54,0.55,1520200
SCC11C2006A,20200102,0.13,0.14,0.13,0.13,1200100
SCC11C2007A,20200102,0.88,0.89,0.87,0.87,3000000
SCC13C2002A,20200102,0.29,0.3,0.28,0.3,5286000
SCC13C2004A,20200102,0.7,0.7,0.69,0.69,1400
SCC13P2001A,20200102,0.04,0.04,0.04,0.04,21000
SCC13P2002A,20200102,0.11,0.11,0.11,0.11,415600
SCC16C2005A,20200102,0.44,0.45,0.43,0.43,5110200
SCC19C2003B,20200102,0.28,0.28,0.27,0.27,1076700
SCC19P2004A,20200102,0.29,0.29,0.28,0.29,1231100
SCC24C2003A,20200102,0.31,0.32,0.3,0.31,2243000
SCC28C2003A,20200102,0.23,0.24,0.22,0.22,954200
SCC41C2004A,20200102,0.45,0.46,0.45,0.46,272200
SCC41P2005A,20200102,0.45,0.46,0.45,0.45,3992800
SGP13C2001A,20200102,0.15,0.23,0.15,0.23,7570700
SGP13C2004A,20200102,0.52,0.62,0.52,0.62,4571500
SGP19C2001A,20200102,0.03,0.03,0.03,0.03,202400
SGP19C2002A,20200102,0.3,0.36,0.3,0.36,5350700
SGP24C2002A,20200102,0.34,0.4,0.34,0.4,1611800
SGP42C2001A,20200102,0.17,0.22,0.17,0.21,895600
SIRI13C2007A,20200102,0.26,0.3,0.26,0.29,6623800
SIRI19C2002A,20200102,0.02,0.02,0.02,0.02,1000
SIRI19C2004A,20200102,0.09,0.12,0.09,0.11,4477500
SIRI19C2007A,20200102,0.23,0.26,0.23,0.25,1068400
